#{"t_start": 1657802581.690109, "env_id": "T-v0"}
r,l,t
-10.5,19,191.729388
-9.25,17,191.756999
-12.0,21,191.791307
-11.833333,21,191.826698
-8.583333,18,191.852839
-8.833333,18,191.877805
-12.416667,19,191.905851
-10.25,18,191.933237
-8.333333,17,191.958133
-15.0,21,191.9892
-12.583333,19,192.017135
-8.083333,15,192.039575
-10.166667,17,192.066245
-8.25,15,192.092475
-8.25,15,192.118931
-8.25,15,192.144289
-10.083333,19,192.170592
-8.833333,16,192.200572
-8.083333,15,192.222569
-8.25,15,192.244003
-9.416667,18,192.270489
-12.833333,21,192.301159
-11.166667,19,192.329272
-12.666667,20,192.362491
-11.083333,19,192.396133
-11.666667,20,192.429806
-11.166667,18,192.454287
-10.416667,18,192.47882
-12.583333,19,192.5044
-10.166667,18,192.530518
-13.0,20,192.55883
-8.75,17,192.583226
-10.166667,17,192.608377
-8.666667,16,192.63213
-14.666667,21,192.667749
-10.333333,17,192.69638
-9.916667,18,192.724131
-15.333333,23,192.760272
-12.416667,22,192.798452
-10.416667,18,192.827635
-9.166667,16,192.85174
-11.416667,21,192.884042
-10.333333,17,192.909826
-10.333333,17,192.935836
-8.916667,16,192.962851
-8.25,15,192.988672
-11.0,20,193.018897
-7.25,15,193.042516
-9.416667,19,193.071882
-10.0,18,193.099792
-8.25,15,193.124371
-8.0,16,193.149681
-8.083333,15,193.175305
-10.166667,17,193.205762
-8.833333,17,193.235532
-10.333333,17,193.264446
-9.083333,17,193.29326
-10.333333,17,193.321361
-12.583333,19,193.349561
-10.083333,18,193.376691
-8.166667,16,193.401652
-10.416667,18,193.431912
-12.75,20,193.466983
-10.333333,17,193.495461
-12.583333,19,193.524931
-9.083333,19,193.555151
-10.916667,18,193.585927
-12.0,20,193.618591
-12.583333,19,193.647536
-14.083333,21,193.680366
-7.583333,17,193.707933
-10.0,17,193.735557
-10.0,18,193.764819
-10.5,18,193.795079
-11.25,18,193.823553
-7.75,15,193.847236
-12.25,19,193.877264
-10.25,18,193.908381
-10.166667,17,193.935535
-8.666667,16,193.959978
-13.0,20,193.99394
-8.166667,16,194.021706
-10.416667,18,194.052439
-7.583333,21,194.088825
-8.083333,15,194.114892
-8.666667,17,194.142387
-8.833333,20,194.174325
-10.166667,17,194.203202
-10.166667,17,194.231818
-9.083333,17,194.257373
-7.666667,16,194.281334
-8.25,15,194.304839
-9.5,17,194.33196
-9.333333,17,194.358382
-8.166667,16,194.383291
-8.25,16,194.408157
-12.75,21,194.440582
-10.166667,17,194.467154
-10.083333,18,194.495046
-10.333333,19,194.525493
-11.583333,20,194.560482
-10.333333,17,194.590894
-8.25,15,194.617383
-11.0,18,197.298077
-10.0,17,197.339287
-8.083333,15,197.367571
-11.166667,18,197.397087
-8.333333,16,197.421546
-8.25,15,197.444396
-10.333333,17,197.47139
-8.333333,16,197.49676
-8.25,15,197.520567
-9.916667,18,197.549149
-6.25,14,197.570539
-8.083333,15,197.59413
-10.333333,17,197.624283
-10.333333,17,197.655107
-8.25,15,197.680135
-10.166667,17,197.707993
-10.25,18,197.740074
-10.166667,17,197.791041
-10.0,17,197.828225
-7.916667,15,197.855823
-10.583333,18,197.890567
-8.25,15,197.919193
-10.0,17,197.949877
-12.166667,20,197.983701
-11.833333,20,198.013869
-8.25,15,198.037517
-12.583333,19,198.066902
-8.833333,16,198.091498
-8.25,15,198.116405
-12.083333,19,198.149588
-8.25,15,198.172221
-10.75,18,198.200126
-10.333333,17,198.226738
-14.833333,22,198.260512
-12.166667,21,198.295176
-8.083333,15,198.32094
-10.0,17,198.350122
-10.333333,17,198.378492
-8.833333,18,198.40843
-10.166667,17,198.436679
-8.25,15,198.461828
-10.333333,17,198.488604
-15.0,21,198.52219
-10.416667,18,198.551095
-8.666667,16,198.576532
-10.333333,17,198.605691
-8.083333,17,198.634247
-10.333333,17,198.662323
-10.166667,17,198.688723
-10.25,18,198.715863
-8.083333,15,198.7384
-10.166667,17,198.764633
-11.25,19,198.796919
-10.416667,18,198.825249
-10.333333,17,198.85156
-11.166667,18,198.879421
-8.416667,16,198.904096
-10.333333,19,198.933482
-11.75,19,198.963057
-9.666667,18,198.990938
-8.583333,16,199.016131
-12.583333,21,199.05085
-11.666667,20,199.084836
-8.25,15,199.110378
-10.333333,17,199.139722
-8.083333,15,199.162614
-9.166667,16,199.187809
-10.583333,19,199.218946
-7.75,15,199.245097
-10.25,18,199.27623
-8.916667,16,199.301718
-10.0,17,199.327861
-9.5,17,199.3548
-9.666667,17,199.381727
-11.25,18,199.410235
-9.75,18,199.438768
-10.166667,17,199.467445
-9.166667,16,199.496145
-10.416667,18,199.527747
-9.166667,16,199.555523
-11.166667,20,199.587453
-9.333333,17,199.612354
-13.833333,22,199.645436
-8.916667,18,199.673206
-10.25,18,199.701794
-8.25,15,199.733339
-10.0,17,199.763506
-10.333333,17,199.790857
-8.25,15,199.814011
-8.25,15,199.83753
-12.416667,19,199.866819
-12.583333,19,199.896319
-10.5,18,199.924252
-10.083333,18,199.95244
-8.0,16,199.976345
-8.916667,16,200.00003
-9.25,16,200.024231
-10.666667,19,200.053594
-10.333333,17,200.079948
-11.083333,19,200.109162
-10.5,18,200.136809
-13.166667,20,200.167529
-8.083333,15,200.190646
-10.333333,17,200.217024
-10.25,18,200.24481
-9.0,17,200.271044
-8.25,15,200.295188
-8.25,15,200.322431
-10.166667,17,200.353414
-8.25,15,200.379177
-10.166667,17,200.408535
-10.166667,18,200.43767
-8.333333,16,200.461619
-8.166667,16,200.488718
-10.583333,18,200.519216
-14.75,23,200.556069
-10.333333,17,200.581078
-8.083333,15,200.603935
-7.916667,15,200.62767
-8.416667,16,200.652257
-8.25,15,203.511172
-8.25,15,203.546592
-10.25,18,203.580625
-8.333333,16,203.607758
-10.0,17,203.638478
-10.666667,18,203.673543
-10.25,18,203.707519
-10.166667,17,203.740443
-9.583333,21,203.779257
-8.083333,15,203.806816
-8.166667,16,203.85369
-8.25,15,203.891221
-8.25,15,203.926378
-8.083333,15,203.95692
-10.166667,17,203.992324
-10.166667,17,204.026955
-8.25,15,204.059354
