#{"t_start": 1650888470.1980486, "env_id": "SW-v0"}
r,l,t
1.0,12,34.501125
1.0,10,34.509944
1.0,12,34.520265
1.0,10,34.528974
1.0,11,34.538569
1.0,8,34.545596
1.0,12,34.556107
1.0,9,34.564093
1.0,17,34.578763
1.0,8,34.585861
1.0,16,34.599955
1.0,10,34.608838
1.0,13,34.620194
1.0,11,34.62985
1.0,8,34.636901
1.0,20,34.660133
1.0,16,34.674198
1.0,11,34.683769
1.0,12,34.694333
1.0,8,34.701511
1.0,11,34.711142
1.0,9,34.71909
1.0,10,34.728098
1.0,10,34.736658
1.0,8,34.743649
1.0,9,34.75147
1.0,8,34.758581
1.0,15,34.771875
1.0,10,34.780398
1.0,8,34.787424
1.0,10,34.796151
1.0,9,34.804055
1.0,13,34.815395
1.0,14,34.8275
1.0,12,34.837889
1.0,10,34.846652
1.0,9,34.854506
1.0,8,34.861732
1.0,13,34.87308
1.0,12,34.883602
1.0,13,34.895041
1.0,11,34.904671
1.0,11,34.914288
1.0,8,34.921263
1.0,11,34.931116
1.0,12,34.94139
1.0,17,34.95624
1.0,12,34.966737
1.0,11,34.976513
1.0,10,36.109248
1.0,12,36.122031
1.0,12,36.133163
1.0,10,36.142311
1.0,13,36.154054
1.0,10,36.163138
1.0,10,36.172236
1.0,12,36.183525
1.0,9,36.191274
1.0,8,36.198235
1.0,9,36.206181
1.0,8,36.213358
1.0,16,36.227632
1.0,18,36.243829
1.0,8,36.251012
1.0,13,36.262723
1.0,13,36.273988
1.0,11,36.28366
1.0,8,36.290849
1.0,12,36.301516
1.0,10,36.310591
1.0,12,36.321516
1.0,12,36.332332
1.0,10,36.341315
1.0,16,36.355781
1.0,8,36.362978
1.0,12,36.373698
1.0,8,36.380993
1.0,10,36.389978
1.0,13,36.40169
1.0,12,36.412598
1.0,18,36.428848
1.0,15,36.442355
1.0,12,36.453213
1.0,9,36.461488
1.0,11,36.471435
1.0,12,36.482224
1.0,13,36.493956
1.0,10,36.503148
1.0,10,36.512159
1.0,17,36.527427
1.0,10,36.53646
1.0,10,36.545494
1.0,10,36.554676
1.0,10,36.563582
1.0,11,36.573353
1.0,12,36.584049
1.0,14,36.596538
1.0,10,36.605465
1.0,10,36.614417
