#{"t_start": 1653903596.7099578, "env_id": "JTL-v0"}
r,l,t
9993.75,16,40.317095
9994.25,14,40.332636
9993.416667,14,40.347732
9992.833333,16,40.364243
9994.5,12,40.377123
9994.083333,14,40.391549
9994.5,12,40.404468
9993.583333,22,40.429335
9994.5,12,40.441617
9992.5,15,40.459003
9994.25,14,40.475566
9994.5,12,40.489884
9994.166667,15,40.505396
9994.083333,14,40.520876
9994.333333,13,40.53525
9993.416667,18,40.556724
9994.166667,15,40.572929
9994.416667,13,40.587043
9993.333333,16,40.608
9993.25,25,40.636173
9994.5,12,40.649184
9993.583333,14,40.663925
9993.916667,14,40.681507
9994.25,14,40.697309
9993.416667,18,40.717496
9991.916667,19,40.738613
9994.5,12,40.752011
9992.416667,26,40.781039
9994.5,12,40.794026
9993.416667,21,40.819492
9994.5,12,40.833348
9994.5,12,40.847769
9994.083333,14,40.864499
9986.5,32,40.901672
9994.25,13,40.915403
9994.5,12,42.09552
9994.5,12,42.112215
9994.5,12,42.126421
9994.25,13,42.140027
9993.75,18,42.159343
9993.833333,18,42.178793
9993.333333,16,42.19565
9994.0,16,42.213531
9994.416667,13,42.22847
9991.833333,17,42.247994
9993.75,14,42.263553
9994.5,12,42.275245
9993.0,18,42.294785
9994.5,12,42.307797
9993.583333,14,42.321583
9994.5,12,42.333243
9993.166667,18,42.35417
9992.416667,18,42.373129
9994.5,12,42.386008
9994.0,16,42.40343
9994.5,12,42.417842
9994.5,12,42.430241
9992.833333,16,42.446238
9994.5,12,42.45871
9993.833333,18,42.478931
9994.333333,14,42.493015
9993.666667,16,42.509609
9994.5,12,42.521954
9991.833333,18,42.540665
9993.333333,16,42.557137
9994.25,15,42.573646
9994.5,12,42.585507
9994.416667,13,42.597994
9994.166667,14,42.612536
9994.333333,13,42.626913
9994.25,14,42.642475
9994.5,12,42.654282
9994.416667,13,42.667557
9993.833333,17,42.684904
9994.5,12,42.697
9994.083333,15,42.711665
9994.166667,15,42.728286
9994.0,16,42.744937
9994.083333,16,42.762062
9994.5,12,42.773953
9993.416667,17,42.791209
9993.083333,18,42.809564
9994.5,12,42.822013
9994.5,12,42.833878
9994.5,12,42.845993
9994.5,12,42.857638
9994.416667,13,42.870953
9994.25,14,42.885515
9994.416667,13,42.898967
9994.416667,13,42.912421
9994.5,12,42.924089
9992.5,15,42.940763
9994.166667,15,42.957268
9994.083333,16,42.974335
9994.5,12,42.987069
9994.5,12,42.99981
9994.333333,14,43.014163
9994.5,12,43.026542
9992.166667,19,43.045744
9994.5,12,43.057334
9994.5,12,43.069639
9993.916667,14,43.082659
9994.416667,13,43.094886
9994.5,12,43.108011
9994.5,12,43.122398
9993.583333,20,43.151651
9994.5,12,43.173097
9994.416667,13,43.186713
9994.5,12,43.201319
9994.5,12,43.214542
9992.75,14,43.230343
9993.583333,17,43.252644
9994.083333,14,43.268013
9994.5,12,43.281462
9993.916667,14,43.301471
